wikidata,label,text,frequency
Q170451,logic gate,and,2105
Q191081,logical conjunction,and,2064
Q11500,area,are,703
Q623,carbon,than,386
Q159190,amplitude,A,365
Q2111,speed of light,C,344
Q6754,charm quark,C,344
Q3711325,speed  ,V,161
Q18373,gravitational constant,G,158
Q11574,second,S,132
Q6786,bottom quark,B,126
Q203872,being,being,123
Q2608380,circle group,T ,121
Q6778,top quark,T,116
Q3229,positron,E,110
Q3045793,E7,E,110
Q1200244,E8,E,110
Q1054513,E6,E,110
Q6745,down quark,D,109
Q306610,n-sphere,S,104
Q2294,proton,P,101
Q2274197,3-sphere,S,94
Q6763,strange quark,S,94
Q6203,Avogrado constant,L,88
Q3886,laser,lax,80
Q869077,F4,F,78
Q193796,imaginary unit,I,70
Q2777107,constructible universe,L,64
Q1111,electric charge,Q,56
Q6718,quark,Q,56
Q424019,lambda baryon,lambda,44
Q429331,Lambert W function,omega,43
Q122894,Planck constant,H,40
Q2348,neutron,N,23
Q41995,tachyon,take,19
Q70220617,totalization,total,19
Q6732,up quark,U,17
Q23809,atomic number,Z,17
Q5876926,branch,branched,16
Q306428,rho meson,rho,12
Q1435089,focussing,focus,8
Q7269442,quasi-category,1)-category,8
Q630426,geometric quantization,quantified,5
