This yields a quadratic algorithm deciding the equality of diagrams in a free double category.,,double category,free double category ,quadratic algorithm,equality of diagrams,,
The right adjoint of this Quillen equivalence is the classical Segal's Nerve functor.,,right adjoint,Quillen equivalence,nerve functor,Segal nerve functor,,
Along the way we prove numerous results showing that the enchilada category is rather strange.,,enchilada category,,,,,
Let PreOrd(C) be the category of internal preorders in an exact category C.,,internal preorder,exact category,,,,
Persistence has proved to be a valuable tool to analyze real world data robustly.,0,,,,,,real world
This allows a definition of topological complexity for orbifolds.,,topological complexity,orbifold,,,,
This note shows every Grothendieck topos has such a site.,,Grothendieck topos,site,,,,
On the other hand subcanonical one-way sites are very special.,,one-way site,subcanonical site,,,,
A site criterion for petit toposes will probably require subcanonical sites.,,petit topos,,,,,
We call such 2-monads property-like.,,2-monad,,,,,
We show that associative coequalizing multiplications suffice and call the resulting structures interpolads.,,interpolads,associative coequalizing multiplication,,,,
This property then extends to strong Colimits of sketches.,,colimit,sketch,,,,
"Often used implicitly, the precise statement of this property and its proof appears here.",0,,,,,,
"However, we provide examples to show that the reflector and coreflector need not coincide.",,co-reflector,reflector,,,,
Results on the finiteness of induced crossed modules are proved both algebraically and topologically.,, cross module,,,,,
Strong promonoidal functors are defined.,,strong promonoidal functor,promonoidal functor,,,,
A construction for the free monoidal category on a promonoidal category is provided.,,monoidal category,,,,,
In this paper we study the lattice of quantic conuclei for orthomudular lattices.,,lattice,conuclei,quantic conuclei,orthomodular lattice,,
We discuss two versions of a conjecture attributed to M. Barr.,0,,,,,,
"We introduce MD-sketches, which are a particular kind of Finite Sum sketches.",,MD-sketches,finite sum sketches,sketch,,,
Two interesting results about MD-sketches are proved.,,MD-sketches,,,,,
"As a corollary, we obtain that equivalence of data-specifications is decidable.",,equivalence,data-specification,decidable,,,
Their universal properties can then be derived with standard techniques as used in duality theory.,,universal property,duality theory,,,,
"When it does, we call the string distributive.",,string distributive,,,,,
"These provide a new construction of the simplicial 2-category, Delta.",,2-category,simplicial 2-category,,,,
Here we show an analogous description of locally finitely multipresentable categories.,,multipresentable category,locally finitely multipresentable cat,,,,
"In addition, we define and study the appropriate categorical structure underlying the MIX rule.",,MIX rule,,,,,
We give the definition in any Gray-category.,,Gray-category,,,,,
The concept of algebra is given as an adjunction with invertible counit.,,algebra,adjunction,counit,invertible counit,,
We show that these doctrines are instances of more general pseudomonads.,,doctrine,pseudomonad,,,,
,,,,,,,
2-crossed complexes are introduced and similar freeness results for these are discussed.,,2-crossed complexes,,,,,
Partial results are given for higher dimensions.,,higher dimensions,,,,,
Applications to 2-crossed modules and quadratic modules are discussed.,,2-crossed modules,modules,quadratic modules,,,
The theory of enriched accessible categories over a suitable base category V is developed.,,accessible categories,enriched acessible categories,,,,
A particular attention is devoted to enriched locally presentable categories and enriched functors.,,locally presentable cats,base category,enriched accessible categories,,,
"Consequently, an equivariant simplicial version of the Whitehead Theorem is derived.",,Whitehead theorem,equivariant simplicial version,,,,
"Some examples are parity c omplexes, pasting schemes and directed complexes.",,parity  complexes,pasting schemes,directed complexes,,,
This role makes the relationship between projective objects and the tensor product especially critical.,,projective objects,tensor product,,,,
Conditions are given under which such a structure interacts appropriately with projective objects.,,projective objects,,,,,
These examples were not fabricated to illustrate the abstract possibility of misbehavior.,0,,,,,,
"Rather, they are drawn from the literature.",0,,,,,,
We give an abstract characterization of categories which are localizations of Maltsev varieties.,,category,localization,Matsev variety,,,
These results can be applied to characterize localizations of naturally Maltsev varieties.,,localization,Matsev variety,,,,
"Using the Chu-construction, we define a group algebra for topological Hausdorff groups.",,Chu construction,group algebra,Hausdorff group,topological Hausdorff group,,
Exponentiable spaces are characterized in terms of convergence.,,exponentialbel space,convergence,,,,
These isomorphisms must satisfy nine coherence conditions.,,coherence conditions,,,,,
We define what is a pseudomonad with compatible structure with respect to two given pseudomonads.,,pseudomonad,compatible structure?,,,,
This all extends routinely to local presentability with respect to any regular cardinal.,,local presentability,regular cardinal,,,,
A number of examples are considered.,0,,,,,,
The main tool in the new approach is the Chu construction.,,Chu construction,,,,,
"Finally, we show loop and suspension functors in the pointed case.",,loop functor,suspension functor,pointed case?,,,
The purpose of this paper is to indicate some bicategorical properties of ring theory.,,ring theory,bicategorical properties,,,,
"In this interaction, static modules are analyzed.",,static modules,,,,,
This leads to the notion of strongly protomodular category.,,protomodular category,strong protomodular category,,,,
The appendix provides the definitions of a braided monoidal bicategory and sylleptic monoidal bicategory.,,monoidal category,braided monoidal category,sylleptic monoidal bicategory,,,
An application to exact sequences is given.,,exact sequences,,,,,
In this paper we show that under slightly stronger assumptions the converse is also true.,,stronger assumptions,converse,,,,
We present some new findings concerning branched covers in topos theory.,,findings,branches covers,topos theory,,,
"Finally, we characterize when certain categories of sheaves are toposes.",,category of sheaves,topos,,,,
We present two other characterizations.,0,,,,,,
,,,,,,,
A relationship between pseudoepimorphisms and lax epimorphisms is discussed.,,relationship,pseudoepimorphisms,lax epimorphism,epimorphism,,
The construction is performed in two steps.,0,,,,,,
First a cartesian closed extension L of CLS is obtained.,,cartesian closed (category),,,,,
We only treat the branching side.,0,,,,,,
The 2-category VAR of finitary varieties is not varietal over CAT.,,2-category,finite variety,varietal,CAT,,
An equational hull of VAR w.r.t. all operations is also discussed.,,equational hull,VAR,,,,
We give a self-contained presentation of Batanin's construction that suits our purposes.,,Batanin's construction,,,,,
An important example: reflexive coequalizers are sifted colimits.,,reflexive coequalizers,coequalizers,colimits,sifted colimits,,
"Among complete categories, generalized varieties are precisely the varieties.",,complete category,generalized variety,,,,
A feature of a ramification groupoid is that it carries a certain order structure.,,groupoid,ramification groupoid,order structure,,,
Our work extends naturally to the braid group on countably many generators.,,braid group,countably many generators,,,,
We show that the two notions are equivalent.,,equivalent,,,,,
This is simultaneously an extension of Verdier's version of Cech cohomology to homotopy.,,Cech cohomology,homotopy,,,,
Exact sequences are a well known notion in homological algebra.,,exact sequence,homological algebra,,,,
"As an application, we compare presheaf categories and varieties.",,presheaf category,variety,,,,
The monadic arrows Opmon are then characterized.,,monadic arrows,,,,,
We call such structures entropic categories.,,entropic category,,,,,
We demonstrate the soundness and completeness of our axiomatization with respect to cut-elimination.,,soundness,completeness,axiomatization ,cut-elimination,,
We then focus on several methods of building entropic categories.,,entropic category,,,,,
"Several examples are discussed, based first on the notion of a bigroup.",,bigroup,,,,,
Finally the Tannaka-Krein reconstruction theorem is extended to the entropic setting.,,Tannaka-Krein theorem,entropic setting?,,,,
The symbolic and categorical structures are thereby shown to be equivalent.,0,,,,,,
We obtain a characterization of such functors.,,functor,,,,,
A cyclic spectrum is constructed for Boolean flows.,,cyclic spectrum,Boolean flow,,,,
"Examples include attractive fixpoints, repulsive fixpoints, strange attractors and the logistic equation.",,attractive fixpoint,strange attractor,logistic equation?,,,
The primitive symbolic and categorical structures are extended to make their types sober.,,sober type,,,,,
A more technical characterization of axiomatizable classes in geometric logic is presented.,,axiomatizable classes,geometric logic,,,,
We restrict our study to the case of locally partially ordered bases.,,locally partially ordered bases,,,,,
We give two applications: sheaves over locales and group actions.,,sheaf over a locale,group action,,,,
Hopf formulas for the second and third homology of a Lie algebra are proved.,,Hopf formula,second homology,third homology,Lie algebra,,
The construction is based on the geometric notion of thin square.,,thin square,,,,,
The definitions can be read independently.,0,,,,,,
It is shown that every codescent morphism of groups is effective.,,codescent morphism  of groups,,effective morphism?,,,
,,,,,,,
We generalize Dress and MÃ¼ller's main result in Decomposable functors and the exponential principle.,,decomposable functors,exponential principle,,,,
Subsets with this property are called composition-representative.,,subset,composition-representative,,,,
This paper studies lax higher dimensional structure over bicategories.,,bicategory ,lax higher dimensional strux,,,,
The general notion of a module between two morphisms of bicategories is described.,,module ,morphisms of bicategories,,,,
The composite of two such modules need not exist.,,composite,,,,,
These modules and their modulations then give rise to a bicategory.,,modulation,module,bicategory,,,
We give an explicit construction of the category Opetope of opetopes.,,opetopes,Opetope,,,,
This result encompasses many known and new examples of quasitopoi.,,quasitopoi,,,,,
We take some first steps in providing a synthetic theory of distributions.,,distributions,synthetic theory?,,,,
