ngram,frequency
model category,74
monoidal category,57
double category,48
model structure,46
tensor product,43
monoidal category,41
topological space,34
double category,30
weak equivalence,27
category theory,26
distributive law,25
closed category,24
small category,24
vector space,22
simplicial set,22
full subcategory,21
abelian category,20
symmetric monoidal category,20
factorization system,19
small category,19
monoidal bicategory,19
homotopy theory,18
right adjoint,17
abelian category,17
abelian group,17
special case,17
Kan extension,17
homotopy category,16
differential category,16
main result,15
equivalence relation,15
sufficient condition,15
effective descent,15
differential geometry,15
finite limit,15
natural transformation,15
model category,14
universal property,14
model category structure,14
category structure,14
categorical group,14
universal algebra,13
finite product,13
symmetric monoidal category,13
simplicial set,12
topological space,12
such category,12
monoidal structure,12
complete category,12
monoidal closed category,12
Hopf algebra,12
factorization system,12
cartesian differential category,12
vector bundle,11
linear logic,11
commutative ring,11
left adjoint,11
geometric morphism,11
distributive law,11
monoidal structure,11
internal category,11
metric space,11
model structure,11
monoidal model,11
differential category,11
combinatorial model,10
vector space,10
base category,10
Galois theory,10
chain complex,10
presentable category,10
categorical structure,10
finite set,10
algebraic theory,10
Hopf algebra,10
categorical group,10
internal groupoid,10
Mal’tsev category,10
monoidal model category,10
full subcategorie,9
Grothendieck topos,9
monoidal functor,9
universal property,9
categorical structure,9
natural transformation,9
exact completion,9
regular category,9
algebraic geometry,9
several example,9
descent morphism,9
Quillen model,9
transition system,9
vector bundle,8
fibrant object,8
enriched category,8
exact category,8
light factorization,8
algebraic structure,8
protomodular category,8
Chu construction,8
descent theory,8
continuous map,8
regular epimorphism,8
cyclic spectrum,8
Lie algebra,8
Hausdorff space,8
exactness condition,8
effective descent morphism,8
universal algebra,8
present paper,8
homological category,8
finite group,7
Morita equivalence,7
exact sequence,7
combinatorial model category,7
model category structure,7
category structure,7
cubical set,7
enriched category theory,7
reflective subcategory,7
cartesian closed category,7
other hand,7
right adjoint,7
protomodular category,7
lax functor,7
central extension,7
finite coproduct,7
Kan extension,7
extensive category,7
accessible category,7
projective object,7
Hausdorff space,7
general theory,7
previous work,7
Lie algebra,7
general notion,7
first author,7
linear functor,7
Mal’tsev category,7
smooth map,7
tangent bundle,7
partial map,7
action core,7
Fermat theory,7
Euler characteristic,7
homological algebra,6
regular epimorphism,6
virtual double category,6
general result,6
effective descent morphism,6
descent morphism,6
left adjoint,6
algebraic theory,6
monoidal functor,6
continuous function,6
closed category,6
topos theory,6
algebraic topology,6
Moore algebra,6
such functor,6
boolean algebra,6
algebraic structure,6
new notion,6
internal category,6
braided monoidal category,6
main theorem,6
compact Hausdorff space,6
forgetful functor,6
coherent unit action,6
coherent unit,6
unit action,6
symmetric monoidal bicategory,6
special case,6
representable functor,6
Yoneda embedding,6
wreath product,6
pasting diagram,6
quantum category,6
Markov process,6
tangent category,6
weak model,6
smooth manifold,5
geometric morphism,5
internal equivalence,5
group action,5
Grothendieck topos,5
algebra structure,5
lax functor,5
synthetic differential geometry,5
stable homotopy,5
additional structure,5
main result,5
large class,5
coherence theorem,5
present article,5
functor category,5
coherence condition,5
discrete fibration,5
Lawvere theory,5
natural number,5
categorical trace,5
compact Hausdorff space,5
quantum group,5
module category,5
presheaf category,5
ground category,5
open set,5
general context,5
finite colimit,5
homotopy type,5
Hopf monad,5
exact sequence,5
regular category,5
dimensional structure,5
explicit construction,5
new example,5
left Kan extension,5
generalized operad,5
approach space,5
Cauchy completion,5
homotopy equivalence,5
Feynman diagram,5
principal bundle,5
fundamental groupoid,5
equivalence relation,5
boolean flow,5
restriction category,5
restriction category,5
strict omega,5
presentable category,5
multiplicative graph,5
cartesian differential category,5
topological group,5
chain rule,5
dimensional transition system,5
dimensional transition,5
independent interest,5
axiomatic framework,5
weak wreath product,5
weak wreath,5
realizability topos,5
super Fermat theory,5
Gray tensor product,5
Gray tensor,5
complicial set,5
weak equivalence,5
homotopy colimit,5
categorical action,5
codescent object,5
polynomial monad,5
universe category,5
Hopf monoid,5
spectral vector,5
isotropy group,5
majority category,5
dagger limit,5
fold vector,4
Quillen equivalence,4
virtual double category,4
basic theory,4
boolean category,4
boolean algebra,4
recent work,4
proof net,4
exact functor,4
pointed object,4
Frobenius object,4
field theory,4
Frobenius algebra,4
weak factorization,4
slice category,4
lax morphism,4
new one,4
differential form,4
strong monoidal functor,4
exact completion,4
general category,4
nerve functor,4
semidirect product,4
cell complex,4
distributive category,4
finitary monad,4
lambda calculus,4
object analogue,4
inverse semigroup,4
new approach,4
compact space,4
categorical Galois theory,4
terminal object,4
extra structure,4
first step,4
closure operator,4
presheaf topos,4
lax epimorphism,4
thin element,4
equational hull,4
suitable sense,4
quotient map,4
closure operator,4
natural generalization,4
reflexive coequalizer,4
complete category,4
necessary condition,4
normal monomorphism,4
internal structure,4
free cocompletion,4
analogous result,4
unit interval,4
real number,4
geometric logic,4
double groupoid,4
exponential principle,4
free algebra,4
subobject classifier,4
metric space,4
various example,4
dimensional category,4
precubical set,4
Baxter equation,4
Moore category,4
categorical property,4
concrete geometrical category,4
geometrical category,4
functor category,4
categorical semantic,4
simplicial object,4
coreflective subcategory,4
Quillen model category,4
generating family,4
quantum harmonic oscillator,4
harmonic oscillator,4
quantum field,4
special attention,4
field theory,4
inverse semigroup,4
characterization theorem,4
explicit description,4
subtractive category,4
exponentiable object,4
Dialectica construction,4
monoidal closed category,4
monad morphism,4
surface holonomy,4
small quantaloid,4
pseudo double category,4
base change,4
distributive lattice,4
direct sum,4
lax algebra,4
lax extension,4
Mal’cev category,4
linear map,4
vector field,4
other approach,4
category construction,4
normal category,4
Galois descent,4
projective model,4
transversal homotopy,4
closed structure,4
order chain rule,4
order chain,4
faithful functor,4
Lefschetz number,4
Reidemeister trace,4
partial map category,4
map category,4
first part,4
skew monoidale,4
general result,4
Tannaka duality,4
complicial identity,4
direct proof,4
homotopy type,4
codensity monad,4
dimensional vector,4
category functor,4
certain condition,4
hypergraph category,4
Lie groupoid,4
flow diagram,4
vector lattice,4
universe category,4
exact homological category,4
triangle theorem,4
Markov process,4
open Markov process,4
inductive groupoid,4
electrical circuit,4
black box functor,4
black box,4
box functor,4
isotropy rank,4
lax pullback,4
weak model category,4
own right,3
tensor category,3
elementary topos,3
closed model category,3
closed model,3
additive category,3
internal equivalence relation,3
partial order,3
stable unit,3
discrete space,3
horizontal morphism,3
necessary condition,3
binary product,3
categorical framework,3
persistence module,3
deductive system,3
free algebra,3
common generalization,3
Frobenius object,3
Moore object,3
certain category,3
new characterization,3
homotopy group,3
homotopy class,3
commutative algebra,3
simplicial group,3
full reflective subcategory,3
identity functor,3
simple description,3
cohomology class,3
left Kan extension,3
fundamental group,3
presheaf category,3
new construction,3
finite limit,3
Chu category,3
original category,3
homotopy pushout,3
appropriate notion,3
coherence result,3
coherence theorem,3
loop space,3
extensive category,3
available reference,3
\rel \k,3
\spn \k,3
Mackey functor,3
abstract characterization,3
strict algebra,3
compatible structure,3
multiplicative linear logic,3
commutative ring,3
ring theory,3
contravariant powerset,3
Frobenius law,3
normal subobject,3
base functor,3
symmetric cat,3
categorical sense,3
new proof,3
Dedekind category,3
different category,3
categorical proof,3
dimensional automaton,3
homology theory,3
