candidate,frequency,links
word problem,2,wikidata.org/wiki/Q3406273;wikidata.org/wiki/Q255912;wikidata.org/wiki/Q8034366;wikidata.org/wiki/Q57622426;wikidata.org/wiki/Q8034369;wikidata.org/wiki/Q116184245;wikidata.org/wiki/Q37618809;wikidata.org/wiki/Q56068238;wikidata.org/wiki/Q111639090;wikidata.org/wiki/Q99733642
free double category,1,wikidata.org/wiki/Q521147;wikidata.org/wiki/Q1242932;wikidata.org/wiki/Q220148;wikidata.org/wiki/Q25431660;wikidata.org/wiki/Q1440730;wikidata.org/wiki/Q8472142
double category,30,wikidata.org/wiki/Q61834696;wikidata.org/wiki/Q3240892;wikidata.org/wiki/Q775940;wikidata.org/wiki/Q1327951;wikidata.org/wiki/Q478209;wikidata.org/wiki/Q622964;wikidata.org/wiki/Q1076529;wikidata.org/wiki/Q277855;wikidata.org/wiki/Q192803;wikidata.org/wiki/Q837381
quadratic algorithm,1,wikidata.org/wiki/Q1151850;wikidata.org/wiki/Q846780;wikidata.org/wiki/Q113104124;wikidata.org/wiki/Q3099784;wikidata.org/wiki/Q57397206;wikidata.org/wiki/Q2448949;wikidata.org/wiki/Q112835895;wikidata.org/wiki/Q56139875;wikidata.org/wiki/Q77698353;wikidata.org/wiki/Q64356158
free double category,2,wikidata.org/wiki/Q521147;wikidata.org/wiki/Q1242932;wikidata.org/wiki/Q220148;wikidata.org/wiki/Q25431660;wikidata.org/wiki/Q1440730;wikidata.org/wiki/Q8472142
double category,48,wikidata.org/wiki/Q99613675;wikidata.org/wiki/Q3240892;wikidata.org/wiki/Q775940;wikidata.org/wiki/Q1327951;wikidata.org/wiki/Q58919727;wikidata.org/wiki/Q478209;wikidata.org/wiki/Q622964;wikidata.org/wiki/Q1076529;wikidata.org/wiki/Q277855;wikidata.org/wiki/Q192803
own right,3,wikidata.org/wiki/Q2699324;wikidata.org/wiki/Q112039202;wikidata.org/wiki/Q113672983;wikidata.org/wiki/Q19643;wikidata.org/wiki/Q95478241;wikidata.org/wiki/Q15264045;wikidata.org/wiki/Q7200276;wikidata.org/wiki/Q76516866;wikidata.org/wiki/Q1758043;wikidata.org/wiki/Q19043385
pinwheel problem,1,wikidata.org/wiki/Q65077715
fold vector bundle,2,
fold vector,4,wikidata.org/wiki/Q57713357;wikidata.org/wiki/Q48681384;wikidata.org/wiki/Q58778984;wikidata.org/wiki/Q91005888;wikidata.org/wiki/Q31153908;wikidata.org/wiki/Q51899450;wikidata.org/wiki/Q30396942;wikidata.org/wiki/Q92659905;wikidata.org/wiki/Q47369759;wikidata.org/wiki/Q51899409
vector bundle,11,wikidata.org/wiki/Q59574838;wikidata.org/wiki/Q97356881;wikidata.org/wiki/Q30694102;wikidata.org/wiki/Q7917819;wikidata.org/wiki/Q6424285;wikidata.org/wiki/Q25098871;wikidata.org/wiki/Q114716213;wikidata.org/wiki/Q5527635;wikidata.org/wiki/Q25303680;wikidata.org/wiki/Q60162866
special functor,1,wikidata.org/wiki/Q5761225
n - cube,1,wikidata.org/wiki/Q213723;wikidata.org/wiki/Q173637;wikidata.org/wiki/Q58119274;wikidata.org/wiki/Q56001800;wikidata.org/wiki/Q56959395;wikidata.org/wiki/Q812880;wikidata.org/wiki/Q59292484;wikidata.org/wiki/Q56699790;wikidata.org/wiki/Q56039649;wikidata.org/wiki/Q59145188
cube category,1,wikidata.org/wiki/Q1470118;wikidata.org/wiki/Q937013;wikidata.org/wiki/Q1166083;wikidata.org/wiki/Q1042920;wikidata.org/wiki/Q2299136;wikidata.org/wiki/Q1071123;wikidata.org/wiki/Q1788746;wikidata.org/wiki/Q2357537;wikidata.org/wiki/Q244877;wikidata.org/wiki/Q1165443
smooth manifold,5,wikidata.org/wiki/Q17102744;wikidata.org/wiki/Q98929414;wikidata.org/wiki/Q7118822;wikidata.org/wiki/Q78338964;wikidata.org/wiki/Q5160993;wikidata.org/wiki/Q1058314;wikidata.org/wiki/Q867141;wikidata.org/wiki/Q56268025;wikidata.org/wiki/Q6543824;wikidata.org/wiki/Q59695761
fold vector bundle,2,
vector bundle,8,wikidata.org/wiki/Q658429;wikidata.org/wiki/Q521075;wikidata.org/wiki/Q2325488;wikidata.org/wiki/Q9289328;wikidata.org/wiki/Q113493107;wikidata.org/wiki/Q23807936;wikidata.org/wiki/Q1541134;wikidata.org/wiki/Q5457856;wikidata.org/wiki/Q18705746;wikidata.org/wiki/Q19598250
canonical isomorphism,2,
colimit argument,1,
∞-fold vector bundle,1,
∞-fold vector,1,wikidata.org/wiki/Q57713357;wikidata.org/wiki/Q48681384;wikidata.org/wiki/Q58778984;wikidata.org/wiki/Q91005888;wikidata.org/wiki/Q31153908;wikidata.org/wiki/Q51899450;wikidata.org/wiki/Q30396942;wikidata.org/wiki/Q92659905;wikidata.org/wiki/Q47369759;wikidata.org/wiki/Q51899409
canonical decomposition,1,wikidata.org/wiki/Q62569156;wikidata.org/wiki/Q62569168;wikidata.org/wiki/Q115684468;wikidata.org/wiki/Q59464527;wikidata.org/wiki/Q37229908;wikidata.org/wiki/Q58121913;wikidata.org/wiki/Q113309840;wikidata.org/wiki/Q57979312;wikidata.org/wiki/Q67109094;wikidata.org/wiki/Q106269833
triple vector bundle,1,
