candidate,frequency
be,2491
show,407
give,378
have,261
use,212
define,204
prove,203
introduce,146
call,133
construct,120
study,116
provide,107
consider,94
describe,93
satisfy,88
obtain,87
know,83
extend,81
include,74
enrich,72
present,71
induce,70
characterize,66
associate,64
generalize,60
develop,60
correspond,58
preserve,57
allow,56
do,55
make,54
generate,53
exist,49
apply,46
base,46
cross,44
arise,41
admit,40
follow,39
form,39
hold,38
relate,38
see,37
involve,36
discuss,35
establish,35
equip,35
contain,33
determine,32
take,31
investigate,31
lead,30
let,30
turn,30
classify,30
connect,29
derive,28
require,28
result,26
close,26
produce,26
value,25
commute,24
coincide,23
find,23
examine,23
consist,22
replace,21
order,21
represent,21
direct,21
work,21
motivate,20
build,20
mean,20
fix,20
lift,20
grade,20
underlie,19
say,19
imply,19
generalise,19
index,19
recover,19
appear,18
identify,18
yield,17
explain,17
reduce,17
explore,17
interpret,17
restrict,16
decorate,16
enable,15
characterise,15
play,15
compare,15
set,15
get,14
start,14
concern,14
model,14
compute,14
embed,13
behave,13
exhibit,13
become,13
understand,13
bound,13
propose,13
adapt,13
link,13
simplify,12
look,12
denote,12
leave,12
clarify,12
act,12
unify,11
illustrate,11
ask,11
note,11
deal,11
express,11
assume,10
analyze,10
capture,10
state,10
formulate,10
need,10
branch,10
continue,10
regard,10
add,10
combine,10
write,10
cover,10
treat,9
come,9
filter,9
suggest,9
carry,9
specify,9
split,9
fit,8
observe,8
separate,8
impose,8
lie,8
demonstrate,8
conclude,8
assign,8
encode,8
seem,8
compose,8
send,8
calculate,7
augment,7
fail,7
inherit,7
think,7
occur,7
merge,7
deduce,7
rely,7
happen,7
view,7
go,7
parametrize,7
employ,7
triangulate,7
interleave,6
focus,6
categorifie,6
expect,6
indicate,6
ensure,6
refer,6
resemble,6
possess,6
dualize,6
revisit,6
point,6
frame,6
endow,6
subsume,6
solve,5
shift,5
orient,5
label,5
raise,5
utilize,5
map,5
modify,5
recall,5
conjecture,5
reflect,5
sift,5
belong,5
argue,5
choose,5
begin,5
guarantee,5
incorporate,5
=,5
term,5
axiomatize,5
remain,5
vary,5
depend,5
inspire,5
put,5
translate,4
reason,4
agree,4
reformulate,4
categorify,4
bear,4
suffice,4
localize,4
isolate,4
type,4
weight,4
move,4
assert,4
pass,4
display,4
enhance,4
change,4
extract,4
internalize,4
exploit,4
approximate,4
truncate,4
obey,4
serve,4
review,4
drop,4
reverse,4
desire,4
respect,4
omit,4
stratify,4
vanish,4
check,4
invert,3
emphasize,3
formalise,3
end,3
mention,3
sketch,3
join,3
reconstruct,3
devote,3
meet,3
ignore,3
share,3
permit,3
entail,3
\meet,3
force,3
perform,3
distribute,3
analyse,3
mark,3
amount,3
tensore,3
exclude,3
want,3
organize,3
complete,3
enjoy,3
preordere,3
guide,3
lay,3
resolve,3
differ,3
single,3
shed,3
help,3
abstract,3
refine,3
miss,3
avoid,3
loop,3
delete,3
answer,3
expand,3
detect,3
name,3
address,3
iterate,3
reproduce,3
twist,3
phrase,3
keep,3
comprise,3
realize,3
factor,3
formalize,3
extriangulate,3
decompose,2
suppose,2
increase,2
pursue,2
complement,2
outline,2
draw,2
interact,2
quantify,2
rewrite,2
factorize,2
saturate,2
intend,2
weaken,2
distinguish,2
live,2
suit,2
nest,2
retrieve,2
imitate,2
measure,2
approach,2
concentrate,2
design,2
handle,2
encounter,2
differentiate,2
lack,2
pioneer,2
duplicate,2
braid,2
suspect,2
specialize,2
justify,2
quotiente,2
revise,2
improve,2
discover,2
fibere,2
support,2
∈,2
realise,2
proceed,2
attach,2
correct,2
assemble,2
rest,2
constitute,2
parallel,2
chase,2
precrosse,2
groupoidify,2
ensue,2
survey,2
having,2
modelize,2
convey,2
speak,2
fibre,2
deform,2
\map,2
restate,2
remove,2
enlarge,2
power,2
metrize,2
acquire,2
transfer,2
dub,2
stabilize,2
decide,1
sidestep,1
attempt,1
port,1
urge,1
slant,1
categorifye,1
prompt,1
overcome,1
coequalize,1
m+1)-coconnecte,1
recapture,1
becomes,1
attribute,1
devise,1
forbid,1
claim,1
haviorcomplicate,1
fabricate,1
adjust,1
terminate,1
balance,1
donnons,1
sont,1
control,1
collapse,1
adjoin,1
normalise,1
dictate,1
re,1
axiomatise,1
sharpen,1
stem,1
slip,1
unprove,1
oppose,1
read,1
encompass,1
step,1
sit,1
cut,1
gear,1
strengthen,1
entitle,1
expound,1
recognize,1
qualify,1
accommodate,1
σi,1
topologize,1
gain,1
transform,1
receive,1
break,1
cotensore,1
finetune,1
settle,1
confine,1
bring,1
≃,1
simulate,1
parametrise,1
feel,1
guard,1
polarize,1
initiate,1
depart,1
pave,1
owe,1
parameterize,1
presuppose,1
notice,1
glue,1
hope,1
supply,1
clutch,1
strictifie,1
degroupoidifye,1
lace,1
condense,1
resort,1
implement,1
maintain,1
affirm,1
pertain,1
feature,1
place,1
prefer,1
communicate,1
tangle,1
disappear,1
unpack,1
group,1
advance,1
undertake,1
transport,1
accomplish,1
piece,1
christen,1
evaluate,1
finish,1
expose,1
tell,1
trace,1
demand,1
warp,1
mix,1
pick,1
coordinatize,1
push,1
focusse,1
project,1
demystify,1
localise,1
prescribe,1
relax,1
reveal,1
pull,1
accord,1
multiply,1
integrate,1
tend,1
open,1
slice,1
oblige,1
teach,1
declare,1
repair,1
arrive,1
fill,1
appeal,1
alter,1
scatter,1
converge,1
stand,1
struggle,1
withrepresente,1
bridge,1
designate,1
detail,1
highlight,1
emphasise,1
achieve,1
pretriangulate,1
align,1
pay,1
flow,1
grain,1
aim,1
envelop,1
reobtain,1
forget,1
remember,1
annihilate,1
talk,1
list,1
manifest,1
coact,1
pin,1
proffer,1
bar,1
getting,1
rid,1
intertwine,1
govern,1
color,1
reindexe,1
hint,1
span,1
discard,1
overlay,1
