field theory	4378
model structure	3440
homotopy theory	3417
category theory	2580
type theory	2466
string theory	2416
vector space	2335
Lie algebra	2302
k theory	2207
model category	2206
Chern Simons	1762
vector bundle	1552
tensor product	1364
chain complex	1363
Simons theory	1329
homotopy type	1314
homotopy group	1140
Yang Mills	1136
Lie group	1069
loop space	904
cohomology theory	895
line bundle	815
m theory	812
Jacob Lurie	809
homotopy category	801
gauge theory	769
Mills theory	763
Urs Schreiber	719
space x	699
Minkowski spacetime	695
 definition	673
vector field	657
category c	640
gauge field	637
de Rham	636
d brane	626
homotopy equivalence	622
lecture note	599
set theory	592
moduli space	581
sigma model	580
Edward Witten	578
Lie algebroid	543
factorization system	543
Kan complex	531
phase space	530
. Rev.	497
moduli stack	494
representation theory	485
dg algebra	471
University Press	471
. Math	469
Hopf algebra	462
ring spectrum	448
homotopy fiber	440
group theory	439
Field Theory	439
Hausdorff space	438
equivalence relation	437
Kan extension	424
equivalence class	418
Phys Rev.	399
category structure	396
Lecture Notes	395
Hisham Sati	395
homotopy pullback	392
context theory	390
K theory	389
zeta function	385
perturbation theory	380
group g	380
tangent bundle	378
configuration space	378
topos theory	372
Mathematical Society	372
Banach space	368
Homotopy Theory	365
n category	358
object x	348
Calabi Yau	348
M5 brane	344
group object	342
g bundle	341
Lawvere theory	336
operator algebra	335
Chevalley Eilenberg	330
Dold Kan	329
smash product	327
field bundle	325
t algebra	323
action functional	322
String Theory	320
M theory	315
space object	314
r module	314
model theory	313
Kan correspondence	312
weight system	310
jet bundle	307
Quillen equivalence	307
gauge group	306
Klein Gordon	306
hilbert space	303
dg category	300
path integral	300
fiber sequence	299
target space	299
Springer Verlag	295
deformation quantization	293
Lie groupoid	288
manifold x	288
Chern class	288
Eilenberg algebra	287
textbook account	286
Peter Johnstone	286
ring r	285
Mike Shulman	285
John Baez	281
Bousfield localization	279
Yoneda lemma	278
von Neumann	271
cw complex	271
algebra structure	271
chord diagram	270
Peter May	269
J. Math	268
Quillen adjunction	268
Mathematical Physics	266
mapping space	265
group cohomology	263
homotopy limit	261
circle bundle	261
Domenico Fiorenza	261
Hilbert space	261
t duality	260
Rham cohomology	259
Dirac operator	257
Euler Lagrange	255
Green Schwarz	254
. Lett	251
field configuration	251
particle physics	251
background field	250
Grothendieck topology	250
Eilenberg MacLane	249
set x	248
fiber bundle	248
division algebra	248
functor category	246
gauge transformation	246
Grothendieck topos	245
lie algebra	244
. math	242
M Theory	241
Witten theory	241
Riemann surface	239
spin structure	239
Topos Theory	237
1)-category theory	235
Poisson bracket	235
category C	233
Yoneda embedding	231
Segal space	229
field history	229
Hopf algebroid	228
Rham complex	227
prop .	227
homotopy colimit	227
string structure	226
c field	226
. Soc	225
New York	225
principal bundle	224
lifting property	221
William Lawvere	220
Galois theory	220
cohomology group	220
power series	220
Ieke Moerdijk	220
group scheme	218
type iia	217
M2 brane	217
Kan fibration	216
star algebra	215
matrix model	215
isomorphism class	214
K Theory	214
fiber product	213
sheaf cohomology	213
functor f	213
scalar field	212
Cambridge Press	212
tensor category	212
hom functor	210
homotopy class	210
Galois group	210
sphere spectrum	209
automorphism group	208
slice category	206
cup product	205
field k	205
American Society	205
bundle gerbe	204
Computer Science	204
- algebra	204
Kaluza Klein	204
Poisson manifold	203
cochain complex	203
spin group	202
Topos theory	201
n -	200
Witten genus	200
Fourier transform	200
Weil algebra	199
Mac Lane	197
Weil theory	197
s matrix	196
computer science	193
identity type	192
identity morphism	192
math .	190
ground field	190
group homomorphism	189
 property	189
g action	188
n bundle	188
field strength	187
power set	186
infinity algebra	185
hom set	185
Daniel Freed	185
kk theory	184
lie group	182
action groupoid	181
truth value	180
Neumann algebra	180
Kähler manifold	180
Phys Lett	179
structure sheaf	179
Feynman propagator	179
group structure	178
brane charge	178
l function	177
Lie integration	177
Quantum Theory	177
. B	176
number theory	176
shape modality	175
partition function	175
Math Soc	173
p brane	173
Chern Weil	173
WZW model	173
 theory	171
arithmetic geometry	170
Feynman diagram	170
Ross Street	169
Stefan Schwede	169
group law	169
base change	169
string diagram	169
cohomology class	168
set s	168
algebra a	168
fiber integration	167
k group	166
product space	164
number field	164
Algebraic Topology	163
order logic	163
coset space	161
Pontryagin class	161
Poisson algebra	161
k algebra	161
Deligne Mumford	161
brane model	160
. Phys	159
homology group	159
f theory	159
Gordon equation	158
b field	158
number object	157
algebra cohomology	157
spin representation	157
Lie bracket	156
Maurer Cartan	156
chain map	156
interval object	156
pullback diagram	155
probability theory	155
Type Theory	155
circle group	154
Clifford algebra	154
group extension	154
mirror symmetry	154
Chern character	153
theta function	153
Cumrun Vafa	153
group action	152
volume form	151
Hodge theory	149
object a	149
Steenrod algebra	149
tangent vector	148
deformation theory	148
g structure	147
Quantum Field	146
vertex operator	146
index theory	146
Dan Freed	146
Sullivan model	145
sheaf topos	145
hom space	144
Field Theories	144
. Press	144
anomaly cancellation	144
Klaus Fredenhagen	143
kk compactification	143
convolution algebra	143
homotopy sequence	142
Michael Hopkins	142
Alain Connes	142
rr field	142
degree n	141
quantum theory	141
cotangent bundle	140
infinity groupoid	140
n algebra	140
functor theorem	140
space v	140
knot theory	138
Thom spectrum	138
Maxim Kontsevich	138
type a	137
structure group	136
Tannaka duality	136
factorization algebra	136
affine scheme	136
Whitehead tower	135
. Theor	135
Grothendieck construction	135
. A	135
e-∞ ring	135
Jim Stasheff	134
Charles Rezk	134
order theory	134
Michael Atiyah	133
a module	133
Elliptic Cohomology	133
Higher Theory	132
J. Geom	131
Cartan geometry	131
Lie theory	131
Hopf fibration	131
D brane	131
Vassiliev invariant	131
m5 brane	131
algebra homomorphism	130
Jordan algebra	130
function field	130
loop group	129
perturbation series	129
Wightman propagator	129
Poincaré group	129
phd thesis	128
gauge symmetry	128
coupling constant	128
tangent space	127
l-∞ algebra	126
Physics B	125
comma category	125
homology theory	125
superstring theory	125
expectation value	124
André Joyal	123
Sati Schreiber	123
Rham differential	123
kernel pair	123
. Sci	122
subobject classifier	122
