keyword,in_nlab
$ 1 $-cat group,False
$*$-autonomous category,False
$2$-metric space,False
$3$-permutable variety,False
$\ast$-autonomous and dialogue category,False
$\ell$-algebra,False
$\infty$-category,False
$\lambda\mu$-calculus,False
$\omega$-category,False
$\pi$-pretopos,False
$\pi_2$,False
$a_\infty$-algebra,False
$a_\infty$-category,False
$a_\infty$-functor,False
$a_\infty$-morphism,False
$a_\infty$-transformation,False
$c^*$-algebra,False
$c^\infty$-ring,False
$g$-spectra,False
$l_\infty$-algebra,False
$n$-category,False
$r_1$-space,False
$t_0$ m-poset,False
$t_{0}$ m-topological space,False
${\mathcal v}$-orthogonal object,False
"($\infty$,n)-category",False
(bi)comodule algebra,False
(cartesian) distributive law,False
(co)homology,False
(co)monad,False
(co)monadicity,False
(co)pointed endofunctor,False
(co)span,False
(co)tabulator,False
(co-) lax idempotent pseudomonad,False
(effective) codescent morphism,False
(effective) descent morphism,False
(local) factorization system,False
(op)monoidal monad,False
(planar) polycategory,False
(pre-)hilbert category,False
(reflexive) coequalizer,False
(reflexive) graph,False
(reflexive) relation,False
(regularly) monadic functor,False
(strictly) locally finitely presentable category,False
(strong) completenes,False
(symmetric) categorical group,False
"(t,v)-algebra",False
"(t,v)-category",False
"(∞,1)-category",False
*-algebra,False
*-autonomous,False
*-autonomous category,False
*-category,False
*-monoid,False
.omega-category,False
18d15,False
2 limit,False
2- track,False
2-algebra,False
2-bicategory,False
2-bundle,False
2-categorification,False
2-category,True
2-crossed complex,True
2-crossed module,True
2-dimensional universal algebra,False
2-exact sequence,False
2-exactnes,False
2-fibration,False
2-functor,True
2-graded classical yang-baxter equation,False
2-group,True
2-groupoid,True
2-groups (categorical groups),False
2-monad,True
2-vector space,True
2affine set,False
[n;m]-type,False
\'etale groupoid,False
a8 ring,False
a_\infty-category,False
a_\infty-functor,False
a_\infty-transformation,False
abelian categorification,False
abelian category,True
abelian object,False
absolute colimit,True
absolute cr-epic,False
absolutely homologous chain map,False
abstract core algebra,False
abstract elementary class,True
abstract homotopy theory,False
abstract krivine structure,False
abstract normal subobject,False
accessible category,True
action,True
action accessible,False
action accessible category,False
action of an object,False
action representable,False
actor,False
acyclic model,False
additive and finite product category,False
additive category,True
adhesive category,True
adjoint,True
adjoint action,True
adjoint functor,True
adjoint triangle,False
adjunctible map,False
adjunction,True
adjunction-like law,False
admissible pair,False
admissible reflection,False
admissible reflexive graph,False
affine connection,True
affine manifold,False
affine space,True
alexandroff-discrete space,False
algebra,True
algebra object,False
algebra over monad,False
algebraic category,True
algebraic exponentiation,False
